"X" "Z" "Y"
211 -2.89 0
212 -2.88 0
213 -2.87 0
214 -2.86 0
215 -2.85 0
216 -2.84 0
217 -2.83 0
218 -2.82 0
219 -2.81 0
220 -2.8 0
221 -2.79 0
222 -2.78 0
223 -2.77 0
224 -2.76 0
225 -2.75 0
226 -2.74 0
227 -2.73 1
228 -2.72 0
229 -2.71 0
230 -2.7 1
231 -2.69 0
232 -2.68 0
233 -2.67 0
234 -2.66 0
235 -2.65 1
236 -2.64 0
237 -2.63 0
238 -2.62 0
239 -2.61 0
240 -2.6 0
241 -2.59 0
242 -2.58 0
243 -2.57 0
244 -2.56 0
245 -2.55 0
246 -2.54 0
247 -2.53 0
248 -2.52 0
249 -2.51 0
250 -2.5 0
251 -2.49 0
252 -2.48 0
253 -2.47 0
254 -2.46 0
255 -2.45 0
256 -2.44 0
257 -2.43 0
258 -2.42 1
259 -2.41 0
260 -2.4 0
261 -2.39 0
262 -2.38 0
263 -2.37 0
264 -2.36 0
265 -2.35 0
266 -2.34 0
267 -2.33 0
268 -2.32 0
269 -2.31 0
270 -2.3 0
271 -2.29 1
272 -2.28 0
273 -2.27 0
274 -2.26 0
275 -2.25 0
276 -2.24 0
277 -2.23 0
278 -2.22 0
279 -2.21 0
280 -2.2 0
281 -2.19 1
282 -2.18 1
283 -2.17 1
284 -2.16 0
285 -2.15 0
286 -2.14 0
287 -2.13 0
288 -2.12 0
289 -2.11 1
290 -2.1 0
291 -2.09 0
292 -2.08 0
293 -2.07 0
294 -2.06 0
295 -2.05 0
296 -2.04 0
297 -2.03 0
298 -2.02 0
299 -2.01 0
300 -2 0
301 -1.99 0
302 -1.98 0
303 -1.97 1
304 -1.96 1
305 -1.95 0
306 -1.94 0
307 -1.93 1
308 -1.92 0
309 -1.91 0
310 -1.9 1
311 -1.89 0
312 -1.88 0
313 -1.87 0
314 -1.86 0
315 -1.85 0
316 -1.84 1
317 -1.83 0
318 -1.82 0
319 -1.81 0
320 -1.8 0
321 -1.79 0
322 -1.78 1
323 -1.77 0
324 -1.76 0
325 -1.75 1
326 -1.74 0
327 -1.73 0
328 -1.72 0
329 -1.71 0
330 -1.7 1
331 -1.69 0
332 -1.68 0
333 -1.67 0
334 -1.66 0
335 -1.65 0
336 -1.64 0
337 -1.63 0
338 -1.62 0
339 -1.61 0
340 -1.6 1
341 -1.59 1
342 -1.58 0
343 -1.57 0
344 -1.56 1
345 -1.55 0
346 -1.54 0
347 -1.53 0
348 -1.52 0
349 -1.51 0
350 -1.5 0
351 -1.49 0
352 -1.48 0
353 -1.47 0
354 -1.46 1
355 -1.45 0
356 -1.44 0
357 -1.43 0
358 -1.42 0
359 -1.41 1
360 -1.4 0
361 -1.39 0
362 -1.38 1
363 -1.37 0
364 -1.36 0
365 -1.35 1
366 -1.34 1
367 -1.33 0
368 -1.32 0
369 -1.31 0
370 -1.3 0
371 -1.29 0
372 -1.28 0
373 -1.27 1
374 -1.26 0
375 -1.25 0
376 -1.24 0
377 -1.23 0
378 -1.22 1
379 -1.21 0
380 -1.2 0
381 -1.19 0
382 -1.18 0
383 -1.17 1
384 -1.16 0
385 -1.15 0
386 -1.14 0
387 -1.13 1
388 -1.12 0
389 -1.11 0
390 -1.1 0
391 -1.09 0
392 -1.08 0
393 -1.07 1
394 -1.06 0
395 -1.05 0
396 -1.04 0
397 -1.03 0
398 -1.02 0
399 -1.01 1
400 -1 0
401 -0.99 1
402 -0.98 0
403 -0.97 0
404 -0.96 1
405 -0.95 0
406 -0.94 0
407 -0.93 0
408 -0.92 0
409 -0.91 0
410 -0.9 1
411 -0.89 0
412 -0.88 0
413 -0.87 0
414 -0.86 0
415 -0.85 1
416 -0.84 0
417 -0.83 1
418 -0.82 1
419 -0.81 0
420 -0.8 0
421 -0.79 0
422 -0.78 1
423 -0.77 0
424 -0.76 0
425 -0.75 1
426 -0.74 0
427 -0.73 1
428 -0.72 0
429 -0.71 0
430 -0.7 1
431 -0.69 0
432 -0.68 0
433 -0.67 0
434 -0.66 0
435 -0.649999999999999 1
436 -0.64 1
437 -0.63 0
438 -0.62 0
439 -0.61 0
440 -0.6 1
441 -0.59 1
442 -0.58 0
443 -0.57 0
444 -0.56 0
445 -0.55 0
446 -0.54 0
447 -0.53 1
448 -0.52 0
449 -0.51 0
450 -0.5 0
451 -0.49 0
452 -0.48 1
453 -0.47 0
454 -0.46 0
455 -0.45 1
456 -0.44 0
457 -0.43 1
458 -0.42 1
459 -0.41 0
460 -0.399999999999999 1
461 -0.39 1
462 -0.38 1
463 -0.37 0
464 -0.36 0
465 -0.35 1
466 -0.34 0
467 -0.33 1
468 -0.32 0
469 -0.31 0
470 -0.3 1
471 -0.29 1
472 -0.28 1
473 -0.27 1
474 -0.26 1
475 -0.25 1
476 -0.24 1
477 -0.23 0
478 -0.22 1
479 -0.21 1
480 -0.2 1
481 -0.19 0
482 -0.18 0
483 -0.17 1
484 -0.16 1
485 -0.149999999999999 0
486 -0.14 1
487 -0.13 1
488 -0.12 0
489 -0.11 0
490 -0.0999999999999996 0
491 -0.0899999999999999 1
492 -0.0800000000000001 0
493 -0.0700000000000003 1
494 -0.0599999999999996 1
495 -0.0499999999999998 0
496 -0.04 0
497 -0.0300000000000002 0
498 -0.0199999999999996 0
499 -0.00999999999999979 0
500 0 1
501 0.00999999999999979 0
502 0.0200000000000005 0
503 0.0300000000000002 1
504 0.04 0
505 0.0499999999999998 0
506 0.0600000000000005 0
507 0.0700000000000003 1
508 0.0800000000000001 1
509 0.0899999999999999 1
510 0.100000000000001 1
511 0.11 1
512 0.12 1
513 0.13 0
514 0.14 1
515 0.15 1
516 0.16 0
517 0.17 0
518 0.18 1
519 0.19 0
520 0.2 1
521 0.21 0
522 0.22 1
523 0.23 0
524 0.24 0
525 0.25 0
526 0.26 0
527 0.27 0
528 0.28 0
529 0.29 1
530 0.3 0
531 0.31 0
532 0.32 1
533 0.33 0
534 0.34 1
535 0.350000000000001 1
536 0.36 1
537 0.37 0
538 0.38 0
539 0.39 0
540 0.4 1
541 0.41 1
542 0.42 0
543 0.43 1
544 0.44 0
545 0.45 1
546 0.46 1
547 0.47 0
548 0.48 1
549 0.49 1
550 0.5 1
551 0.51 0
552 0.52 1
553 0.53 0
554 0.54 1
555 0.55 1
556 0.56 0
557 0.57 1
558 0.58 1
559 0.59 1
560 0.600000000000001 1
561 0.61 1
562 0.62 1
563 0.63 1
564 0.64 1
565 0.65 0
566 0.66 1
567 0.67 0
568 0.68 1
569 0.69 1
570 0.7 1
571 0.71 1
572 0.72 1
573 0.73 1
574 0.74 1
575 0.75 1
576 0.76 1
577 0.77 1
578 0.78 1
579 0.79 1
580 0.8 1
581 0.81 1
582 0.82 1
583 0.83 1
584 0.84 1
585 0.850000000000001 1
586 0.86 1
587 0.87 1
588 0.88 1
589 0.89 0
590 0.9 0
591 0.91 1
592 0.92 1
593 0.93 1
594 0.94 1
595 0.95 1
596 0.96 0
597 0.97 1
598 0.98 1
599 0.99 1
600 1 1
601 1.01 1
602 1.02 1
603 1.03 1
604 1.04 1
605 1.05 1
606 1.06 1
607 1.07 1
608 1.08 1
609 1.09 1
610 1.1 1
611 1.11 1
612 1.12 0
613 1.13 0
614 1.14 1
615 1.15 1
616 1.16 1
617 1.17 1
618 1.18 1
619 1.19 1
620 1.2 1
621 1.21 1
622 1.22 0
623 1.23 1
624 1.24 1
625 1.25 0
626 1.26 1
627 1.27 1
628 1.28 1
629 1.29 1
630 1.3 0
631 1.31 1
632 1.32 1
633 1.33 1
634 1.34 1
635 1.35 1
636 1.36 0
637 1.37 1
638 1.38 1
639 1.39 1
640 1.4 1
641 1.41 1
642 1.42 1
643 1.43 1
644 1.44 1
645 1.45 1
646 1.46 1
647 1.47 0
648 1.48 1
649 1.49 0
650 1.5 0
651 1.51 1
652 1.52 1
653 1.53 1
654 1.54 1
655 1.55 1
656 1.56 1
657 1.57 1
658 1.58 1
659 1.59 0
660 1.6 1
661 1.61 1
662 1.62 1
663 1.63 1
664 1.64 1
665 1.65 0
666 1.66 1
667 1.67 1
668 1.68 1
669 1.69 1
670 1.7 0
671 1.71 1
672 1.72 1
673 1.73 0
674 1.74 1
675 1.75 1
676 1.76 1
677 1.77 1
678 1.78 1
679 1.79 1
680 1.8 1
681 1.81 1
682 1.82 1
683 1.83 1
684 1.84 1
685 1.85 1
686 1.86 1
687 1.87 1
688 1.88 1
689 1.89 1
690 1.9 1
691 1.91 1
692 1.92 0
693 1.93 1
694 1.94 1
695 1.95 1
696 1.96 1
697 1.97 1
698 1.98 1
699 1.99 1
700 2 1
701 2.01 1
702 2.02 0
703 2.03 1
704 2.04 1
705 2.05 1
706 2.06 1
707 2.07 1
708 2.08 1
709 2.09 1
710 2.1 1
711 2.11 1
712 2.12 1
713 2.13 1
714 2.14 1
715 2.15 1
716 2.16 0
717 2.17 1
718 2.18 1
719 2.19 1
720 2.2 1
721 2.21 1
722 2.22 1
723 2.23 1
724 2.24 1
725 2.25 1
726 2.26 1
727 2.27 1
728 2.28 0
729 2.29 1
730 2.3 0
731 2.31 1
732 2.32 1
733 2.33 1
734 2.34 0
735 2.35 1
736 2.36 1
737 2.37 1
738 2.38 1
739 2.39 1
740 2.4 1
741 2.41 1
742 2.42 1
743 2.43 1
744 2.44 1
745 2.45 1
746 2.46 1
747 2.47 1
748 2.48 1
749 2.49 1
750 2.5 1
751 2.51 1
752 2.52 1
753 2.53 1
754 2.54 1
755 2.55 1
756 2.56 1
757 2.57 1
758 2.58 1
759 2.59 1
760 2.6 1
761 2.61 1
762 2.62 1
763 2.63 1
764 2.64 1
765 2.65 1
766 2.66 1
767 2.67 1
768 2.68 0
769 2.69 1
770 2.7 1
771 2.71 1
772 2.72 1
773 2.73 1
774 2.74 1
775 2.75 1
776 2.76 1
777 2.77 1
778 2.78 1
779 2.79 1
780 2.8 1
781 2.81 1
782 2.82 1
783 2.83 1
784 2.84 1
785 2.85 1
786 2.86 1
787 2.87 1
788 2.88 1
789 2.89 1
790 2.9 1
791 2.91 1
792 2.92 1
793 2.93 1
794 2.94 1
795 2.95 1
796 2.96 1
797 2.97 1
798 2.98 1
799 2.99 1
800 3 1
801 3.01 1
802 3.02 1
803 3.03 1
804 3.04 1
805 3.05 1
806 3.06 1
807 3.07 1
808 3.08 1
809 3.09 1
810 3.1 1
811 3.11 1
812 3.12 1
813 3.13 1
814 3.14 1
815 3.15 1
816 3.16 1
817 3.17 1
818 3.18 1
819 3.19 1
820 3.2 1
821 3.21 1
822 3.22 1
823 3.23 1
824 3.24 1
825 3.25 1
826 3.26 1
827 3.27 1
828 3.28 1
829 3.29 1
830 3.3 1
831 3.31 0
832 3.32 1
833 3.33 1
834 3.34 1
835 3.35 1
836 3.36 1
837 3.37 1
838 3.38 1
839 3.39 1
840 3.4 1
841 3.41 1
842 3.42 1
843 3.43 1
844 3.44 1
845 3.45 1
846 3.46 1
847 3.47 0
848 3.48 1
849 3.49 1
850 3.5 1
851 3.51 1
852 3.52 1
853 3.53 1
854 3.54 1
855 3.55 1
856 3.56 1
857 3.57 0
858 3.58 1
859 3.59 1
860 3.6 1
861 3.61 1
862 3.62 0
863 3.63 1
864 3.64 1
865 3.65 1
866 3.66 1
867 3.67 1
868 3.68 1
869 3.69 1
870 3.7 1
871 3.71 1
872 3.72 1
873 3.73 1
874 3.74 1
875 3.75 1
876 3.76 1
877 3.77 1
878 3.78 1
879 3.79 0
880 3.8 1
881 3.81 1
882 3.82 1
883 3.83 1
884 3.84 1
885 3.85 1
886 3.86 1
887 3.87 1
888 3.88 1
889 3.89 1
890 3.9 1
891 3.91 1
892 3.92 1
893 3.93 1
894 3.94 1
895 3.95 1
896 3.96 1
897 3.97 1
898 3.98 1
899 3.99 1
900 4 1
901 4.01 1
902 4.02 1
903 4.03 1
904 4.04 1
905 4.05 1
906 4.06 1
907 4.07 1
908 4.08 1
909 4.09 1
910 4.1 1
911 4.11 1
912 4.12 1
913 4.13 1
914 4.14 1
915 4.15 1
916 4.16 1
917 4.17 1
918 4.18 1
919 4.19 1
920 4.2 1
921 4.21 1
922 4.22 1
923 4.23 1
924 4.24 1
925 4.25 1
926 4.26 1
927 4.27 1
928 4.28 1
929 4.29 1
930 4.3 1
931 4.31 1
932 4.32 0
933 4.33 1
934 4.34 1
935 4.35 1
936 4.36 1
937 4.37 1
938 4.38 1
939 4.39 1
940 4.4 1
941 4.41 1
942 4.42 1
943 4.43 1
944 4.44 1
945 4.45 1
946 4.46 1
947 4.47 1
948 4.48 1
949 4.49 1
950 4.5 1
951 4.51 1
952 4.52 1
953 4.53 1
954 4.54 1
955 4.55 1
956 4.56 1
957 4.57 1
958 4.58 1
959 4.59 0
960 4.6 1
961 4.61 1
962 4.62 1
963 4.63 1
964 4.64 1
965 4.65 1
966 4.66 1
967 4.67 1
968 4.68 1
969 4.69 1
970 4.7 1
971 4.71 1
972 4.72 1
973 4.73 1
974 4.74 1
975 4.75 1
976 4.76 1
977 4.77 1
978 4.78 1
979 4.79 1
980 4.8 1
981 4.81 1
982 4.82 1
983 4.83 1
984 4.84 1
985 4.85 1
986 4.86 1
987 4.87 1
988 4.88 1
989 4.89 1
990 4.9 1
991 4.91 1
992 4.92 1
993 4.93 1
994 4.94 1
995 4.95 1
996 4.96 1
997 4.97 1
998 4.98 1
999 4.99 1
1000 5 1
